spot,spot,4,3,2
0,0,100,100,100
1,1,100,100,100
2,2,100,100,100
3,3,100,100,100
4,4,100,100,100
5,5,100,100,100
6,6,100,100,100
7,7,100,100,0
8,8,100,100,0
9,9,100,100,0
10,10,89,0,0
11,11,89,100,0
